speaker,date,vid.title,vid.url,vid.youtubeid,vid.id,id
Romney,2012-10-12,"Mitt Romney & Paul Ryan Campaign Rally, Lancaster, Ohio - October 12 2012",http://electad.com/video/mitt-romney-paul-ryan-campaign-rally-lancaster-ohio-october-12-2012/,VzBvphB7jQM,ID_39,Romney_20121012_speech1
Romney,2012-10-12,"Mitt Romney Campaign Rally in Richmond, Virginia - October 12 2012",http://electad.com/video/mitt-romney-campaign-rally-in-richmond-virginia-october-12-2012/,YnnnoZZZ3JE,ID_40,Romney_20121012_speech2
Romney,2012-10-17,"Mitt Romney Campaign Rally Chesapeake, Virginia - October 17 2012",http://electad.com/video/mitt-romney-campaign-rally-chesapeake-virginia-october-17-2012/,qEZ2uPvQnww,ID_36,Romney_20121017_speech1
Romney,2012-10-17,"Mitt Romney Campaign Rally Leesburg, Virginia - October 17 2012",http://electad.com/video/mitt-romney-campaign-rally-leesburg-virginia-october-17-2012/,FmJG6pe1cS0,ID_34,Romney_20121017_speech2
Romney,2012-10-18,"Mitt Romney Remarks At Alfred E. Smith Memorial Foundation Dinner in New York City, New York - October 18 2012",http://electad.com/video/mitt-romney-remarks-at-alfred-e-smith-memorial-foundation-dinner-in-new-york-new-york-october-18-2012/,HWqWUBxH2vk,ID_32,Romney_20121018_speech1
Romney,2012-10-23,"Mitt Romney & Paul Ryan Campaign Rally with Susana Martinez in Morrison, Colorado - October 23 2012",http://electad.com/video/mitt-romney-paul-ryan-campaign-rally-with-susana-martinez-in-morrison-colorado-october-23-2012/,l2mNwIk4Epk,ID_29,Romney_20121023_speech1
Romney,2012-10-25,"Mitt Romney Campaign Rally Cincinnati, Ohio - October 25 2012",http://electad.com/video/mitt-romney-campaign-rally-cincinnati-ohio-october-25-2012/,6aDj1LK_Z7s,ID_27,Romney_20121025_speech1
Romney,2012-10-25,"Mitt Romney Campaign Rally In Defiance, Ohio - October 25 2012",http://electad.com/video/mitt-romney-campaign-rally-in-defiance-ohio-october-25-2012/,7U-en3jwb5U,ID_24,Romney_20121025_speech2
Romney,2012-10-25,"Mitt Romney Campaign Rally In Worthington, Ohio - October 25 2012",http://electad.com/video/mitt-romney-campaign-rally-in-worthington-ohio-october-25-2012/,xmyn8Brug7g,ID_25,Romney_20121025_speech3
Romney,2012-10-26,"Mitt Romney Speech On The Economy in Ames, Iowa - October 26 2012",http://electad.com/video/mitt-romney-speech-on-the-economy-in-ames-iowa-october-26-2012/,dUMGr4qTp-Y,ID_23,Romney_20121026_speech1
Romney,2012-10-28,"Mitt Romney & Paul Ryan Campaign Rally in Findlay, Ohio - October 28 2012",http://electad.com/video/mitt-romney-paul-ryan-campaign-rally-in-findlay-ohio-october-28-2012/,5CtrQ4HEC-I,ID_22,Romney_20121028_speech1
